,averagerating,numvotes,original_title,start_year,runtime_minutes,genres,ordering,nconst,category,job,characters,directors,writers,is_comedy,is_action,is_horror,is_romance,studio,domestic_gross,foreign_gross,year,id,release_date,production_budget,domestic_gross_tn,worldwide_gross
10 Cloverfield Lane,7.2,260383,10 Cloverfield Lane,2016,103.0,"['Drama', 'Horror', 'Mystery']",10.0,nm6618222,producer,producer,,nm0870469,"nm1061091,nm1173295,nm3227090",False,False,True,False,Par.,72100000.0,38100000,2016.0,54.0,"Mar 11, 2016","$5,000,000","$72,082,999","$108,286,422"
10 Cloverfield Lane,7.2,260383,10 Cloverfield Lane,2016,103.0,"['Drama', 'Horror', 'Mystery']",1.0,nm0000422,actor,,"[""Howard""]",nm0870469,"nm1061091,nm1173295,nm3227090",False,False,True,False,Par.,72100000.0,38100000,2016.0,54.0,"Mar 11, 2016","$5,000,000","$72,082,999","$108,286,422"
10 Cloverfield Lane,7.2,260383,10 Cloverfield Lane,2016,103.0,"['Drama', 'Horror', 'Mystery']",2.0,nm0935541,actress,,"[""Michelle""]",nm0870469,"nm1061091,nm1173295,nm3227090",False,False,True,False,Par.,72100000.0,38100000,2016.0,54.0,"Mar 11, 2016","$5,000,000","$72,082,999","$108,286,422"
10 Cloverfield Lane,7.2,260383,10 Cloverfield Lane,2016,103.0,"['Drama', 'Horror', 'Mystery']",3.0,nm0302330,actor,,"[""Emmett""]",nm0870469,"nm1061091,nm1173295,nm3227090",False,False,True,False,Par.,72100000.0,38100000,2016.0,54.0,"Mar 11, 2016","$5,000,000","$72,082,999","$108,286,422"
10 Cloverfield Lane,7.2,260383,10 Cloverfield Lane,2016,103.0,"['Drama', 'Horror', 'Mystery']",4.0,nm0341174,actor,,"[""Driver""]",nm0870469,"nm1061091,nm1173295,nm3227090",False,False,True,False,Par.,72100000.0,38100000,2016.0,54.0,"Mar 11, 2016","$5,000,000","$72,082,999","$108,286,422"
10 Cloverfield Lane,7.2,260383,10 Cloverfield Lane,2016,103.0,"['Drama', 'Horror', 'Mystery']",5.0,nm0870469,director,,,nm0870469,"nm1061091,nm1173295,nm3227090",False,False,True,False,Par.,72100000.0,38100000,2016.0,54.0,"Mar 11, 2016","$5,000,000","$72,082,999","$108,286,422"
10 Cloverfield Lane,7.2,260383,10 Cloverfield Lane,2016,103.0,"['Drama', 'Horror', 'Mystery']",6.0,nm1061091,writer,screenplay by,,nm0870469,"nm1061091,nm1173295,nm3227090",False,False,True,False,Par.,72100000.0,38100000,2016.0,54.0,"Mar 11, 2016","$5,000,000","$72,082,999","$108,286,422"
10 Cloverfield Lane,7.2,260383,10 Cloverfield Lane,2016,103.0,"['Drama', 'Horror', 'Mystery']",7.0,nm1173295,writer,screenplay by,,nm0870469,"nm1061091,nm1173295,nm3227090",False,False,True,False,Par.,72100000.0,38100000,2016.0,54.0,"Mar 11, 2016","$5,000,000","$72,082,999","$108,286,422"
10 Cloverfield Lane,7.2,260383,10 Cloverfield Lane,2016,103.0,"['Drama', 'Horror', 'Mystery']",8.0,nm3227090,writer,screenplay by,,nm0870469,"nm1061091,nm1173295,nm3227090",False,False,True,False,Par.,72100000.0,38100000,2016.0,54.0,"Mar 11, 2016","$5,000,000","$72,082,999","$108,286,422"
10 Cloverfield Lane,7.2,260383,10 Cloverfield Lane,2016,103.0,"['Drama', 'Horror', 'Mystery']",9.0,nm0009190,producer,producer,,nm0870469,"nm1061091,nm1173295,nm3227090",False,False,True,False,Par.,72100000.0,38100000,2016.0,54.0,"Mar 11, 2016","$5,000,000","$72,082,999","$108,286,422"
12 Strong,6.6,50155,12 Strong,2018,130.0,"['Action', 'Drama', 'History']",10.0,nm0524745,producer,producer,,nm3350420,"nm0848217,nm0185976,nm3066678",False,True,False,False,WB,45800000.0,21600000,2018.0,64.0,"Jan 19, 2018","$35,000,000","$45,819,713","$71,118,378"
12 Strong,6.6,50155,12 Strong,2018,130.0,"['Action', 'Drama', 'History']",1.0,nm1165110,actor,,"[""Captain Mitch Nelson""]",nm3350420,"nm0848217,nm0185976,nm3066678",False,True,False,False,WB,45800000.0,21600000,2018.0,64.0,"Jan 19, 2018","$35,000,000","$45,819,713","$71,118,378"
12 Strong,6.6,50155,12 Strong,2018,130.0,"['Action', 'Drama', 'History']",2.0,nm0788335,actor,,"[""Hal Spencer""]",nm3350420,"nm0848217,nm0185976,nm3066678",False,True,False,False,WB,45800000.0,21600000,2018.0,64.0,"Jan 19, 2018","$35,000,000","$45,819,713","$71,118,378"
12 Strong,6.6,50155,12 Strong,2018,130.0,"['Action', 'Drama', 'History']",3.0,nm0671567,actor,,"[""Sam Diller""]",nm3350420,"nm0848217,nm0185976,nm3066678",False,True,False,False,WB,45800000.0,21600000,2018.0,64.0,"Jan 19, 2018","$35,000,000","$45,819,713","$71,118,378"
12 Strong,6.6,50155,12 Strong,2018,130.0,"['Action', 'Drama', 'History']",4.0,nm1041023,actor,,"[""Gen. Dostum""]",nm3350420,"nm0848217,nm0185976,nm3066678",False,True,False,False,WB,45800000.0,21600000,2018.0,64.0,"Jan 19, 2018","$35,000,000","$45,819,713","$71,118,378"
12 Strong,6.6,50155,12 Strong,2018,130.0,"['Action', 'Drama', 'History']",5.0,nm3350420,director,,,nm3350420,"nm0848217,nm0185976,nm3066678",False,True,False,False,WB,45800000.0,21600000,2018.0,64.0,"Jan 19, 2018","$35,000,000","$45,819,713","$71,118,378"
12 Strong,6.6,50155,12 Strong,2018,130.0,"['Action', 'Drama', 'History']",6.0,nm0848217,writer,written by,,nm3350420,"nm0848217,nm0185976,nm3066678",False,True,False,False,WB,45800000.0,21600000,2018.0,64.0,"Jan 19, 2018","$35,000,000","$45,819,713","$71,118,378"
12 Strong,6.6,50155,12 Strong,2018,130.0,"['Action', 'Drama', 'History']",7.0,nm0185976,writer,written by,,nm3350420,"nm0848217,nm0185976,nm3066678",False,True,False,False,WB,45800000.0,21600000,2018.0,64.0,"Jan 19, 2018","$35,000,000","$45,819,713","$71,118,378"
12 Strong,6.6,50155,12 Strong,2018,130.0,"['Action', 'Drama', 'History']",8.0,nm3066678,writer,"based on the book, ""Horse Soldiers"" by",,nm3350420,"nm0848217,nm0185976,nm3066678",False,True,False,False,WB,45800000.0,21600000,2018.0,64.0,"Jan 19, 2018","$35,000,000","$45,819,713","$71,118,378"
12 Strong,6.6,50155,12 Strong,2018,130.0,"['Action', 'Drama', 'History']",9.0,nm0000988,producer,producer,,nm3350420,"nm0848217,nm0185976,nm3066678",False,True,False,False,WB,45800000.0,21600000,2018.0,64.0,"Jan 19, 2018","$35,000,000","$45,819,713","$71,118,378"
12 Years a Slave,8.1,577301,12 Years a Slave,2013,134.0,"['Biography', 'Drama', 'History']",10.0,nm1250070,producer,producer,,nm2588606,"nm0725983,nm1185849",False,False,False,False,FoxS,56700000.0,131100000,2013.0,18.0,"Oct 18, 2013","$20,000,000","$56,671,993","$181,025,343"
12 Years a Slave,8.1,577301,12 Years a Slave,2013,134.0,"['Biography', 'Drama', 'History']",1.0,nm0252230,actor,,"[""Solomon Northup""]",nm2588606,"nm0725983,nm1185849",False,False,False,False,FoxS,56700000.0,131100000,2013.0,18.0,"Oct 18, 2013","$20,000,000","$56,671,993","$181,025,343"
12 Years a Slave,8.1,577301,12 Years a Slave,2013,134.0,"['Biography', 'Drama', 'History']",2.0,nm0931324,actor,,"[""Robert""]",nm2588606,"nm0725983,nm1185849",False,False,False,False,FoxS,56700000.0,131100000,2013.0,18.0,"Oct 18, 2013","$20,000,000","$56,671,993","$181,025,343"
12 Years a Slave,8.1,577301,12 Years a Slave,2013,134.0,"['Biography', 'Drama', 'History']",3.0,nm1055413,actor,,"[""Edwin Epps""]",nm2588606,"nm0725983,nm1185849",False,False,False,False,FoxS,56700000.0,131100000,2013.0,18.0,"Oct 18, 2013","$20,000,000","$56,671,993","$181,025,343"
12 Years a Slave,8.1,577301,12 Years a Slave,2013,134.0,"['Biography', 'Drama', 'History']",4.0,nm0000093,actor,,"[""Bass""]",nm2588606,"nm0725983,nm1185849",False,False,False,False,FoxS,56700000.0,131100000,2013.0,18.0,"Oct 18, 2013","$20,000,000","$56,671,993","$181,025,343"
12 Years a Slave,8.1,577301,12 Years a Slave,2013,134.0,"['Biography', 'Drama', 'History']",5.0,nm2588606,director,,,nm2588606,"nm0725983,nm1185849",False,False,False,False,FoxS,56700000.0,131100000,2013.0,18.0,"Oct 18, 2013","$20,000,000","$56,671,993","$181,025,343"
12 Years a Slave,8.1,577301,12 Years a Slave,2013,134.0,"['Biography', 'Drama', 'History']",6.0,nm0725983,writer,screenplay by,,nm2588606,"nm0725983,nm1185849",False,False,False,False,FoxS,56700000.0,131100000,2013.0,18.0,"Oct 18, 2013","$20,000,000","$56,671,993","$181,025,343"
12 Years a Slave,8.1,577301,12 Years a Slave,2013,134.0,"['Biography', 'Drama', 'History']",7.0,nm1185849,writer,"based on ""Twelve Years a Slave"" by",,nm2588606,"nm0725983,nm1185849",False,False,False,False,FoxS,56700000.0,131100000,2013.0,18.0,"Oct 18, 2013","$20,000,000","$56,671,993","$181,025,343"
12 Years a Slave,8.1,577301,12 Years a Slave,2013,134.0,"['Biography', 'Drama', 'History']",8.0,nm0306890,producer,producer,,nm2588606,"nm0725983,nm1185849",False,False,False,False,FoxS,56700000.0,131100000,2013.0,18.0,"Oct 18, 2013","$20,000,000","$56,671,993","$181,025,343"
12 Years a Slave,8.1,577301,12 Years a Slave,2013,134.0,"['Biography', 'Drama', 'History']",9.0,nm0441097,producer,producer,,nm2588606,"nm0725983,nm1185849",False,False,False,False,FoxS,56700000.0,131100000,2013.0,18.0,"Oct 18, 2013","$20,000,000","$56,671,993","$181,025,343"
127 Hours,7.6,323949,127 Hours,2010,94.0,"['Adventure', 'Biography', 'Drama']",10.0,nm0006246,composer,,,nm0000965,"nm0000965,nm0064479,nm1737008",False,False,False,False,FoxS,18300000.0,42400000,2010.0,6.0,"Nov 5, 2010","$18,000,000","$18,335,230","$60,217,171"
127 Hours,7.6,323949,127 Hours,2010,94.0,"['Adventure', 'Biography', 'Drama']",1.0,nm0290556,actor,,"[""Aron Ralston""]",nm0000965,"nm0000965,nm0064479,nm1737008",False,False,False,False,FoxS,18300000.0,42400000,2010.0,6.0,"Nov 5, 2010","$18,000,000","$18,335,230","$60,217,171"
127 Hours,7.6,323949,127 Hours,2010,94.0,"['Adventure', 'Biography', 'Drama']",2.0,nm0848554,actress,,"[""Megan""]",nm0000965,"nm0000965,nm0064479,nm1737008",False,False,False,False,FoxS,18300000.0,42400000,2010.0,6.0,"Nov 5, 2010","$18,000,000","$18,335,230","$60,217,171"
127 Hours,7.6,323949,127 Hours,2010,94.0,"['Adventure', 'Biography', 'Drama']",3.0,nm0544718,actress,,"[""Kristi""]",nm0000965,"nm0000965,nm0064479,nm1737008",False,False,False,False,FoxS,18300000.0,42400000,2010.0,6.0,"Nov 5, 2010","$18,000,000","$18,335,230","$60,217,171"
127 Hours,7.6,323949,127 Hours,2010,94.0,"['Adventure', 'Biography', 'Drama']",4.0,nm2505304,actor,,"[""Aron's Friend""]",nm0000965,"nm0000965,nm0064479,nm1737008",False,False,False,False,FoxS,18300000.0,42400000,2010.0,6.0,"Nov 5, 2010","$18,000,000","$18,335,230","$60,217,171"
127 Hours,7.6,323949,127 Hours,2010,94.0,"['Adventure', 'Biography', 'Drama']",5.0,nm0000965,director,,,nm0000965,"nm0000965,nm0064479,nm1737008",False,False,False,False,FoxS,18300000.0,42400000,2010.0,6.0,"Nov 5, 2010","$18,000,000","$18,335,230","$60,217,171"
127 Hours,7.6,323949,127 Hours,2010,94.0,"['Adventure', 'Biography', 'Drama']",6.0,nm0064479,writer,screenplay,,nm0000965,"nm0000965,nm0064479,nm1737008",False,False,False,False,FoxS,18300000.0,42400000,2010.0,6.0,"Nov 5, 2010","$18,000,000","$18,335,230","$60,217,171"
127 Hours,7.6,323949,127 Hours,2010,94.0,"['Adventure', 'Biography', 'Drama']",7.0,nm1737008,writer,"book ""Between a Rock and a Hard Place",,nm0000965,"nm0000965,nm0064479,nm1737008",False,False,False,False,FoxS,18300000.0,42400000,2010.0,6.0,"Nov 5, 2010","$18,000,000","$18,335,230","$60,217,171"
127 Hours,7.6,323949,127 Hours,2010,94.0,"['Adventure', 'Biography', 'Drama']",8.0,nm1384503,producer,producer,,nm0000965,"nm0000965,nm0064479,nm1737008",False,False,False,False,FoxS,18300000.0,42400000,2010.0,6.0,"Nov 5, 2010","$18,000,000","$18,335,230","$60,217,171"
127 Hours,7.6,323949,127 Hours,2010,94.0,"['Adventure', 'Biography', 'Drama']",9.0,nm0810478,producer,producer,,nm0000965,"nm0000965,nm0064479,nm1737008",False,False,False,False,FoxS,18300000.0,42400000,2010.0,6.0,"Nov 5, 2010","$18,000,000","$18,335,230","$60,217,171"
13 Sins,6.3,29550,13 Sins,2014,93.0,"['Horror', 'Thriller']",10.0,nm0594380,producer,producer,,nm0821844,"nm0083547,nm0821844,nm1840848,nm2636866",False,False,True,False,RTWC,13800.0,,2014.0,51.0,"Apr 18, 2014","$4,000,000","$9,134","$47,552"
13 Sins,6.3,29550,13 Sins,2014,93.0,"['Horror', 'Thriller']",1.0,nm0916406,actor,,"[""Elliot Brindle""]",nm0821844,"nm0083547,nm0821844,nm1840848,nm2636866",False,False,True,False,RTWC,13800.0,,2014.0,51.0,"Apr 18, 2014","$4,000,000","$9,134","$47,552"
13 Sins,6.3,29550,13 Sins,2014,93.0,"['Horror', 'Thriller']",2.0,nm1984458,actor,,"[""Michael Brindle""]",nm0821844,"nm0083547,nm0821844,nm1840848,nm2636866",False,False,True,False,RTWC,13800.0,,2014.0,51.0,"Apr 18, 2014","$4,000,000","$9,134","$47,552"
13 Sins,6.3,29550,13 Sins,2014,93.0,"['Horror', 'Thriller']",3.0,nm0101005,actor,,"[""Father""]",nm0821844,"nm0083547,nm0821844,nm1840848,nm2636866",False,False,True,False,RTWC,13800.0,,2014.0,51.0,"Apr 18, 2014","$4,000,000","$9,134","$47,552"
13 Sins,6.3,29550,13 Sins,2014,93.0,"['Horror', 'Thriller']",4.0,nm2179180,actress,,"[""Shelby""]",nm0821844,"nm0083547,nm0821844,nm1840848,nm2636866",False,False,True,False,RTWC,13800.0,,2014.0,51.0,"Apr 18, 2014","$4,000,000","$9,134","$47,552"
13 Sins,6.3,29550,13 Sins,2014,93.0,"['Horror', 'Thriller']",5.0,nm0821844,director,,,nm0821844,"nm0083547,nm0821844,nm1840848,nm2636866",False,False,True,False,RTWC,13800.0,,2014.0,51.0,"Apr 18, 2014","$4,000,000","$9,134","$47,552"
13 Sins,6.3,29550,13 Sins,2014,93.0,"['Horror', 'Thriller']",6.0,nm0083547,writer,screenplay by,,nm0821844,"nm0083547,nm0821844,nm1840848,nm2636866",False,False,True,False,RTWC,13800.0,,2014.0,51.0,"Apr 18, 2014","$4,000,000","$9,134","$47,552"
13 Sins,6.3,29550,13 Sins,2014,93.0,"['Horror', 'Thriller']",7.0,nm1840848,writer,"source Material: ""13: Game of Death"" by",,nm0821844,"nm0083547,nm0821844,nm1840848,nm2636866",False,False,True,False,RTWC,13800.0,,2014.0,51.0,"Apr 18, 2014","$4,000,000","$9,134","$47,552"
13 Sins,6.3,29550,13 Sins,2014,93.0,"['Horror', 'Thriller']",8.0,nm2636866,writer,"source material: ""13: Game of Death"" by",,nm0821844,"nm0083547,nm0821844,nm1840848,nm2636866",False,False,True,False,RTWC,13800.0,,2014.0,51.0,"Apr 18, 2014","$4,000,000","$9,134","$47,552"
13 Sins,6.3,29550,13 Sins,2014,93.0,"['Horror', 'Thriller']",9.0,nm2271939,producer,producer,,nm0821844,"nm0083547,nm0821844,nm1840848,nm2636866",False,False,True,False,RTWC,13800.0,,2014.0,51.0,"Apr 18, 2014","$4,000,000","$9,134","$47,552"
2 Guns,6.7,182025,2 Guns,2013,109.0,"['Action', 'Comedy', 'Crime']",10.0,nm0298915,producer,producer,,nm0466349,"nm1398578,nm1556427",True,True,False,False,Uni.,75600000.0,56300000,2013.0,39.0,"Aug 2, 2013","$61,000,000","$75,612,460","$132,493,015"
2 Guns,6.7,182025,2 Guns,2013,109.0,"['Action', 'Comedy', 'Crime']",1.0,nm0000243,actor,,"[""Bobby""]",nm0466349,"nm1398578,nm1556427",True,True,False,False,Uni.,75600000.0,56300000,2013.0,39.0,"Aug 2, 2013","$61,000,000","$75,612,460","$132,493,015"
2 Guns,6.7,182025,2 Guns,2013,109.0,"['Action', 'Comedy', 'Crime']",2.0,nm0000242,actor,,"[""Stig""]",nm0466349,"nm1398578,nm1556427",True,True,False,False,Uni.,75600000.0,56300000,2013.0,39.0,"Aug 2, 2013","$61,000,000","$75,612,460","$132,493,015"
2 Guns,6.7,182025,2 Guns,2013,109.0,"['Action', 'Comedy', 'Crime']",3.0,nm1745736,actress,,"[""Deb""]",nm0466349,"nm1398578,nm1556427",True,True,False,False,Uni.,75600000.0,56300000,2013.0,39.0,"Aug 2, 2013","$61,000,000","$75,612,460","$132,493,015"
2 Guns,6.7,182025,2 Guns,2013,109.0,"['Action', 'Comedy', 'Crime']",4.0,nm0000200,actor,,"[""Earl""]",nm0466349,"nm1398578,nm1556427",True,True,False,False,Uni.,75600000.0,56300000,2013.0,39.0,"Aug 2, 2013","$61,000,000","$75,612,460","$132,493,015"
2 Guns,6.7,182025,2 Guns,2013,109.0,"['Action', 'Comedy', 'Crime']",5.0,nm0466349,director,,,nm0466349,"nm1398578,nm1556427",True,True,False,False,Uni.,75600000.0,56300000,2013.0,39.0,"Aug 2, 2013","$61,000,000","$75,612,460","$132,493,015"
2 Guns,6.7,182025,2 Guns,2013,109.0,"['Action', 'Comedy', 'Crime']",6.0,nm1398578,writer,screenplay by,,nm0466349,"nm1398578,nm1556427",True,True,False,False,Uni.,75600000.0,56300000,2013.0,39.0,"Aug 2, 2013","$61,000,000","$75,612,460","$132,493,015"
2 Guns,6.7,182025,2 Guns,2013,109.0,"['Action', 'Comedy', 'Crime']",7.0,nm1556427,writer,based on the Boom! Studios graphic novels by,,nm0466349,"nm1398578,nm1556427",True,True,False,False,Uni.,75600000.0,56300000,2013.0,39.0,"Aug 2, 2013","$61,000,000","$75,612,460","$132,493,015"
2 Guns,6.7,182025,2 Guns,2013,109.0,"['Action', 'Comedy', 'Crime']",8.0,nm1184676,producer,producer,,nm0466349,"nm1398578,nm1556427",True,True,False,False,Uni.,75600000.0,56300000,2013.0,39.0,"Aug 2, 2013","$61,000,000","$75,612,460","$132,493,015"
2 Guns,6.7,182025,2 Guns,2013,109.0,"['Action', 'Comedy', 'Crime']",9.0,nm0256542,producer,producer,,nm0466349,"nm1398578,nm1556427",True,True,False,False,Uni.,75600000.0,56300000,2013.0,39.0,"Aug 2, 2013","$61,000,000","$75,612,460","$132,493,015"
21 Jump Street,7.2,477771,21 Jump Street,2012,109.0,"['Action', 'Comedy', 'Crime']",10.0,nm0605775,producer,producer,,"nm0588087,nm0520488","nm0045209,nm1706767,nm0367895,nm0004798",True,True,False,False,Sony,138400000.0,63100000,2012.0,44.0,"Mar 16, 2012","$42,000,000","$138,447,667","$202,812,429"
21 Jump Street,7.2,477771,21 Jump Street,2012,109.0,"['Action', 'Comedy', 'Crime']",1.0,nm1706767,actor,,"[""Schmidt""]","nm0588087,nm0520488","nm0045209,nm1706767,nm0367895,nm0004798",True,True,False,False,Sony,138400000.0,63100000,2012.0,44.0,"Mar 16, 2012","$42,000,000","$138,447,667","$202,812,429"
21 Jump Street,7.2,477771,21 Jump Street,2012,109.0,"['Action', 'Comedy', 'Crime']",2.0,nm1475594,actor,,"[""Jenko""]","nm0588087,nm0520488","nm0045209,nm1706767,nm0367895,nm0004798",True,True,False,False,Sony,138400000.0,63100000,2012.0,44.0,"Mar 16, 2012","$42,000,000","$138,447,667","$202,812,429"
21 Jump Street,7.2,477771,21 Jump Street,2012,109.0,"['Action', 'Comedy', 'Crime']",3.0,nm0001084,actor,,"[""Captain Dickson""]","nm0588087,nm0520488","nm0045209,nm1706767,nm0367895,nm0004798",True,True,False,False,Sony,138400000.0,63100000,2012.0,44.0,"Mar 16, 2012","$42,000,000","$138,447,667","$202,812,429"
21 Jump Street,7.2,477771,21 Jump Street,2012,109.0,"['Action', 'Comedy', 'Crime']",4.0,nm0488953,actress,,"[""Molly Tracey""]","nm0588087,nm0520488","nm0045209,nm1706767,nm0367895,nm0004798",True,True,False,False,Sony,138400000.0,63100000,2012.0,44.0,"Mar 16, 2012","$42,000,000","$138,447,667","$202,812,429"
21 Jump Street,7.2,477771,21 Jump Street,2012,109.0,"['Action', 'Comedy', 'Crime']",5.0,nm0520488,director,,,"nm0588087,nm0520488","nm0045209,nm1706767,nm0367895,nm0004798",True,True,False,False,Sony,138400000.0,63100000,2012.0,44.0,"Mar 16, 2012","$42,000,000","$138,447,667","$202,812,429"
21 Jump Street,7.2,477771,21 Jump Street,2012,109.0,"['Action', 'Comedy', 'Crime']",6.0,nm0588087,director,,,"nm0588087,nm0520488","nm0045209,nm1706767,nm0367895,nm0004798",True,True,False,False,Sony,138400000.0,63100000,2012.0,44.0,"Mar 16, 2012","$42,000,000","$138,447,667","$202,812,429"
21 Jump Street,7.2,477771,21 Jump Street,2012,109.0,"['Action', 'Comedy', 'Crime']",7.0,nm0045209,writer,screenplay,,"nm0588087,nm0520488","nm0045209,nm1706767,nm0367895,nm0004798",True,True,False,False,Sony,138400000.0,63100000,2012.0,44.0,"Mar 16, 2012","$42,000,000","$138,447,667","$202,812,429"
21 Jump Street,7.2,477771,21 Jump Street,2012,109.0,"['Action', 'Comedy', 'Crime']",8.0,nm0367895,writer,television series,,"nm0588087,nm0520488","nm0045209,nm1706767,nm0367895,nm0004798",True,True,False,False,Sony,138400000.0,63100000,2012.0,44.0,"Mar 16, 2012","$42,000,000","$138,447,667","$202,812,429"
21 Jump Street,7.2,477771,21 Jump Street,2012,109.0,"['Action', 'Comedy', 'Crime']",9.0,nm0004798,writer,television series,,"nm0588087,nm0520488","nm0045209,nm1706767,nm0367895,nm0004798",True,True,False,False,Sony,138400000.0,63100000,2012.0,44.0,"Mar 16, 2012","$42,000,000","$138,447,667","$202,812,429"
22 Jump Street,7.0,319504,22 Jump Street,2014,112.0,"['Action', 'Comedy', 'Crime']",10.0,nm0367895,writer,"television series ""21 Jump Street",,"nm0588087,nm0520488","nm0045209,nm1706767,nm0367895,nm0004798,nm3349927,nm0745247",True,True,False,False,Sony,191700000.0,139600000,2014.0,85.0,"Jun 13, 2014","$50,000,000","$191,719,337","$331,333,876"
22 Jump Street,7.0,319504,22 Jump Street,2014,112.0,"['Action', 'Comedy', 'Crime']",1.0,nm1475594,actor,,"[""Jenko""]","nm0588087,nm0520488","nm0045209,nm1706767,nm0367895,nm0004798,nm3349927,nm0745247",True,True,False,False,Sony,191700000.0,139600000,2014.0,85.0,"Jun 13, 2014","$50,000,000","$191,719,337","$331,333,876"
22 Jump Street,7.0,319504,22 Jump Street,2014,112.0,"['Action', 'Comedy', 'Crime']",2.0,nm1706767,actor,,"[""Schmidt""]","nm0588087,nm0520488","nm0045209,nm1706767,nm0367895,nm0004798,nm3349927,nm0745247",True,True,False,False,Sony,191700000.0,139600000,2014.0,85.0,"Jun 13, 2014","$50,000,000","$191,719,337","$331,333,876"
22 Jump Street,7.0,319504,22 Jump Street,2014,112.0,"['Action', 'Comedy', 'Crime']",3.0,nm0001084,actor,,"[""Captain Dickson""]","nm0588087,nm0520488","nm0045209,nm1706767,nm0367895,nm0004798,nm3349927,nm0745247",True,True,False,False,Sony,191700000.0,139600000,2014.0,85.0,"Jun 13, 2014","$50,000,000","$191,719,337","$331,333,876"
22 Jump Street,7.0,319504,22 Jump Street,2014,112.0,"['Action', 'Comedy', 'Crime']",4.0,nm0644406,actor,,"[""Deputy Chief Hardy""]","nm0588087,nm0520488","nm0045209,nm1706767,nm0367895,nm0004798,nm3349927,nm0745247",True,True,False,False,Sony,191700000.0,139600000,2014.0,85.0,"Jun 13, 2014","$50,000,000","$191,719,337","$331,333,876"
22 Jump Street,7.0,319504,22 Jump Street,2014,112.0,"['Action', 'Comedy', 'Crime']",5.0,nm0520488,director,,,"nm0588087,nm0520488","nm0045209,nm1706767,nm0367895,nm0004798,nm3349927,nm0745247",True,True,False,False,Sony,191700000.0,139600000,2014.0,85.0,"Jun 13, 2014","$50,000,000","$191,719,337","$331,333,876"
22 Jump Street,7.0,319504,22 Jump Street,2014,112.0,"['Action', 'Comedy', 'Crime']",6.0,nm0588087,director,,,"nm0588087,nm0520488","nm0045209,nm1706767,nm0367895,nm0004798,nm3349927,nm0745247",True,True,False,False,Sony,191700000.0,139600000,2014.0,85.0,"Jun 13, 2014","$50,000,000","$191,719,337","$331,333,876"
22 Jump Street,7.0,319504,22 Jump Street,2014,112.0,"['Action', 'Comedy', 'Crime']",7.0,nm0045209,writer,screenplay,,"nm0588087,nm0520488","nm0045209,nm1706767,nm0367895,nm0004798,nm3349927,nm0745247",True,True,False,False,Sony,191700000.0,139600000,2014.0,85.0,"Jun 13, 2014","$50,000,000","$191,719,337","$331,333,876"
22 Jump Street,7.0,319504,22 Jump Street,2014,112.0,"['Action', 'Comedy', 'Crime']",8.0,nm3349927,writer,screenplay,,"nm0588087,nm0520488","nm0045209,nm1706767,nm0367895,nm0004798,nm3349927,nm0745247",True,True,False,False,Sony,191700000.0,139600000,2014.0,85.0,"Jun 13, 2014","$50,000,000","$191,719,337","$331,333,876"
22 Jump Street,7.0,319504,22 Jump Street,2014,112.0,"['Action', 'Comedy', 'Crime']",9.0,nm0745247,writer,screenplay,,"nm0588087,nm0520488","nm0045209,nm1706767,nm0367895,nm0004798,nm3349927,nm0745247",True,True,False,False,Sony,191700000.0,139600000,2014.0,85.0,"Jun 13, 2014","$50,000,000","$191,719,337","$331,333,876"
3 Days to Kill,6.2,81681,3 Days to Kill,2014,117.0,"['Action', 'Drama', 'Thriller']",10.0,nm1190889,composer,,,nm0629334,"nm0367867,nm0000108",False,True,False,False,Rela.,30700000.0,21900000,2014.0,64.0,"Feb 21, 2014","$28,000,000","$30,697,999","$38,959,900"
3 Days to Kill,6.2,81681,3 Days to Kill,2014,117.0,"['Action', 'Drama', 'Thriller']",1.0,nm0000126,actor,,"[""Ethan Renner""]",nm0629334,"nm0367867,nm0000108",False,True,False,False,Rela.,30700000.0,21900000,2014.0,64.0,"Feb 21, 2014","$28,000,000","$30,697,999","$38,959,900"
3 Days to Kill,6.2,81681,3 Days to Kill,2014,117.0,"['Action', 'Drama', 'Thriller']",2.0,nm2794962,actress,,"[""Zooey Renner""]",nm0629334,"nm0367867,nm0000108",False,True,False,False,Rela.,30700000.0,21900000,2014.0,64.0,"Feb 21, 2014","$28,000,000","$30,697,999","$38,959,900"
3 Days to Kill,6.2,81681,3 Days to Kill,2014,117.0,"['Action', 'Drama', 'Thriller']",3.0,nm0001567,actress,,"[""Christine Renner""]",nm0629334,"nm0367867,nm0000108",False,True,False,False,Rela.,30700000.0,21900000,2014.0,64.0,"Feb 21, 2014","$28,000,000","$30,697,999","$38,959,900"
3 Days to Kill,6.2,81681,3 Days to Kill,2014,117.0,"['Action', 'Drama', 'Thriller']",4.0,nm1720028,actress,,"[""Vivi Delay""]",nm0629334,"nm0367867,nm0000108",False,True,False,False,Rela.,30700000.0,21900000,2014.0,64.0,"Feb 21, 2014","$28,000,000","$30,697,999","$38,959,900"
3 Days to Kill,6.2,81681,3 Days to Kill,2014,117.0,"['Action', 'Drama', 'Thriller']",5.0,nm0629334,director,,,nm0629334,"nm0367867,nm0000108",False,True,False,False,Rela.,30700000.0,21900000,2014.0,64.0,"Feb 21, 2014","$28,000,000","$30,697,999","$38,959,900"
